id,tipo,monto
1,Débito,235.81
2,Débito,227.59
3,Crédito,34.28
4,Crédito,309.36
5,Crédito,418.59
6,Crédito,335.24
7,Débito,449.74
8,Débito,405.2
9,Crédito,460.31
10,Crédito,351.04
11,Débito,300.37
12,Débito,38.74
13,Crédito,152.74
14,Crédito,328.49
15,Débito,303.96
16,Débito,95.62
17,Crédito,449.23
18,Débito,385.45
19,Débito,427.61
20,Crédito,472.88
21,Débito,229.3
22,Débito,219.24
23,Crédito,464.06
24,Crédito,494.83
25,Débito,135.11
26,Débito,318.03
27,Crédito,65.23
28,Débito,320.17
29,Crédito,376.6
30,Crédito,285.06
31,Crédito,432.75
32,Crédito,14.55
33,Crédito,497.28
34,Crédito,135.65
35,Débito,159.79
36,Débito,176.31
37,Crédito,402.01
38,Crédito,225.8
39,Crédito,427.3
40,Débito,465.07
41,Crédito,394.2
42,Crédito,72.66
43,Débito,96.45
44,Crédito,498.57
45,Débito,452.72
46,Crédito,276.58
47,Débito,280.65
48,Débito,330.41
49,Crédito,123.6
50,Crédito,399.36
51,Crédito,67.34
52,Débito,46.46
53,Débito,214.33
54,Débito,62.12
55,Débito,282.6
56,Crédito,145.74
57,Débito,109.2
58,Débito,468.31
59,Débito,72.06
60,Débito,378.18
61,Débito,281.37
62,Crédito,265.85
63,Débito,22.36
64,Crédito,447.02
65,Crédito,14.79
66,Crédito,327.16
67,Débito,96.06
68,Crédito,371.78
69,Débito,228.95
70,Crédito,375.46
71,Crédito,165.92
72,Débito,314.09
73,Débito,398.5
74,Débito,435.32
75,Débito,56.07
76,Crédito,310.06
77,Débito,415.12
78,Crédito,21.63
79,Crédito,171.34
80,Débito,442.2
81,Débito,266.64
82,Crédito,266.56
83,Crédito,238.65
84,Crédito,342.32
85,Débito,160.47
86,Débito,394.5
87,Crédito,495.15
88,Crédito,104.47
89,Débito,116.25
90,Crédito,10.53
91,Crédito,44.05
92,Crédito,134.58
93,Débito,356.25
94,Débito,453.52
95,Débito,383.66
96,Crédito,373.6
97,Débito,442.99
98,Débito,109.85
99,Débito,377.81
100,Débito,102.89
101,Crédito,222.05
102,Débito,314.17
103,Crédito,114.99
104,Débito,116.5
105,Crédito,113.86
106,Débito,109.34
107,Débito,36.43
108,Débito,103.18
109,Crédito,349.3
110,Débito,47.2
111,Débito,303.12
112,Crédito,121.2
113,Débito,448.31
114,Crédito,135.01
115,Crédito,97.73
116,Crédito,403.18
117,Crédito,113.94
118,Crédito,251.69
119,Crédito,422.23
120,Débito,119.89
121,Débito,402.99
122,Débito,337.96
123,Crédito,33.7
124,Crédito,313.76
125,Crédito,435.31
126,Crédito,48.59
127,Débito,209.12
128,Débito,64.83
129,Débito,205.22
130,Crédito,190.15
131,Crédito,235.53
132,Débito,476.55
133,Débito,479.81
134,Crédito,181.55
135,Débito,498.32
136,Crédito,447.87
137,Débito,109.54
138,Crédito,250.63
139,Débito,287.87
140,Crédito,418.79
141,Débito,462.3
142,Crédito,420.03
143,Crédito,223.15
144,Crédito,382.76
145,Crédito,346.25
146,Crédito,361.09
147,Crédito,137.36
148,Débito,497.35
149,Crédito,219.42
150,Crédito,177.84
151,Débito,441.25
152,Crédito,167.09
153,Débito,17.91
154,Crédito,453.34
155,Crédito,101.65
156,Crédito,190.35
157,Crédito,374.89
158,Débito,182.39
159,Crédito,253.05
160,Crédito,93.23
161,Débito,255.14
162,Débito,123.96
163,Débito,374.13
164,Débito,175.52
165,Crédito,291.52
166,Crédito,174.91
167,Débito,286.22
168,Débito,187.34
169,Débito,296.79
170,Débito,340.89
171,Crédito,411.18
172,Crédito,239.62
173,Débito,40.85
174,Crédito,279.09
175,Crédito,332.82
176,Débito,278.15
177,Débito,477.03
178,Débito,252.6
179,Crédito,495.07
180,Crédito,147.45
181,Débito,355.01
182,Débito,35.09
183,Débito,152.92
184,Crédito,236.35
185,Débito,218.38
186,Débito,289.58
187,Débito,367.41
188,Crédito,493.43
189,Débito,16.76
190,Crédito,486.46
191,Débito,46.02
192,Crédito,348.82
193,Crédito,55.65
194,Débito,49.81
195,Débito,402.2
196,Débito,65.71
197,Débito,426.17
198,Crédito,470.37
199,Débito,285.33
200,Débito,328.47
201,Débito,117.94
202,Crédito,272.46
203,Débito,259.34
204,Débito,312.28
205,Crédito,331.71
206,Crédito,96.83
207,Crédito,274.71
208,Débito,447.31
209,Crédito,312.43
210,Débito,395.07
211,Crédito,371.77
212,Débito,470.25
213,Crédito,243.76
214,Crédito,261.14
215,Débito,288.6
216,Crédito,382.71
217,Débito,234.78
218,Crédito,435.04
219,Débito,192.98
220,Débito,284.03
221,Débito,122.29
222,Débito,499.69
223,Débito,436.31
224,Crédito,239.85
225,Crédito,12.61
226,Débito,382.67
227,Crédito,394.33
228,Crédito,178.43
229,Crédito,410.28
230,Crédito,275.01
231,Débito,484.45
232,Crédito,96.67
233,Crédito,494.9
234,Débito,183.62
235,Crédito,468.52
236,Crédito,475.65
237,Débito,214.71
238,Débito,118.85
239,Crédito,166.53
240,Débito,187.59
241,Débito,401.61
242,Débito,421.33
243,Crédito,159.55
244,Débito,475.73
245,Débito,296.1
246,Crédito,477.26
247,Crédito,435.34
248,Débito,286.24
249,Crédito,78.01
250,Débito,115.68
251,Débito,80.92
252,Débito,223.39
253,Crédito,315.81
254,Débito,76.25
255,Crédito,318.07
256,Crédito,161.32
257,Crédito,232.63
258,Débito,166.34
259,Débito,201.28
260,Crédito,447.54
261,Crédito,445.13
262,Crédito,53.49
263,Crédito,28.7
264,Débito,269.47
265,Débito,128.04
266,Crédito,362.73
267,Débito,170.46
268,Débito,132.7
269,Débito,170.26
270,Crédito,365.61
271,Crédito,26.45
272,Crédito,25.54
273,Débito,362.94
274,Crédito,291.97
275,Débito,495.79
276,Crédito,232.34
277,Crédito,29.01
278,Crédito,471.36
279,Débito,48.62
280,Crédito,261.77
281,Débito,303.26
282,Débito,406.71
283,Débito,261.18
284,Débito,239.23
285,Crédito,360.7
286,Débito,45.18
287,Débito,468.77
288,Crédito,420.75
289,Débito,478.59
290,Crédito,77.67
291,Crédito,85.5
292,Débito,221.73
293,Crédito,281.15
294,Débito,199.7
295,Débito,73.49
296,Crédito,92.49
297,Crédito,484.07
298,Crédito,297.52
299,Crédito,29.15
300,Débito,357.54
301,Crédito,266.98
302,Crédito,465.53
303,Crédito,363.16
304,Débito,468.13
305,Débito,109.15
306,Crédito,104.19
307,Crédito,389.94
308,Débito,162.57
309,Débito,467.11
310,Débito,126.08
311,Crédito,453.17
312,Débito,409.85
313,Crédito,435.41
314,Débito,110.66
315,Crédito,310.99
316,Crédito,34.79
317,Crédito,454.74
318,Débito,166.88
319,Crédito,96.95
320,Crédito,173.02
321,Crédito,437.09
322,Débito,434.04
323,Crédito,264.26
324,Crédito,346.87
325,Crédito,137.27
326,Crédito,478.53
327,Débito,285.24
328,Crédito,350.19
329,Débito,402.83
330,Débito,299.36
331,Débito,166.83
332,Débito,47.28
333,Crédito,380.48
334,Crédito,280.57
335,Débito,461.3
336,Crédito,332.54
337,Crédito,485.78
338,Débito,52.48
339,Débito,416.27
340,Débito,120.75
341,Crédito,369.24
342,Crédito,291.87
343,Débito,76.58
344,Crédito,304.53
345,Crédito,378.15
346,Crédito,372.17
347,Crédito,369.13
348,Crédito,367.2
349,Débito,41.15
350,Débito,353.74
351,Crédito,101.74
352,Crédito,206.98
353,Débito,47.41
354,Débito,103.68
355,Crédito,352.07
356,Crédito,370.44
357,Débito,406.93
358,Crédito,78.49
359,Crédito,432.83
360,Crédito,364.24
361,Crédito,240.09
362,Crédito,231.83
363,Débito,77.53
364,Crédito,441.65
365,Débito,219.95
366,Débito,306.61
367,Débito,462.41
368,Crédito,339.97
369,Débito,85.49
370,Débito,69.99
371,Débito,136.88
372,Débito,91.16
373,Débito,139.36
374,Crédito,343.03
375,Débito,233.29
376,Débito,390.47
377,Crédito,393.15
378,Crédito,240.15
379,Débito,309.4
380,Débito,394.79
381,Débito,445.72
382,Débito,29.28
383,Crédito,399.41
384,Crédito,280.81
385,Crédito,47.96
386,Crédito,23.97
387,Débito,371.02
388,Débito,294.66
389,Débito,363.13
390,Crédito,291.83
391,Débito,236.88
392,Crédito,475.83
393,Débito,436.63
394,Débito,62.0
395,Crédito,238.02
396,Crédito,53.16
397,Débito,427.41
398,Débito,105.11
399,Débito,11.89
400,Débito,470.88
401,Crédito,167.2
402,Crédito,288.41
403,Crédito,164.43
404,Débito,146.47
405,Débito,396.02
406,Débito,477.73
407,Débito,251.31
408,Crédito,392.6
409,Débito,249.28
410,Crédito,213.4
411,Débito,461.21
412,Crédito,282.73
413,Débito,441.15
414,Crédito,189.54
415,Débito,166.89
416,Débito,468.68
417,Débito,494.69
418,Crédito,452.67
419,Crédito,365.21
420,Débito,94.48
421,Crédito,337.63
422,Débito,148.35
423,Crédito,123.98
424,Débito,263.71
425,Crédito,491.53
426,Crédito,392.74
427,Crédito,200.75
428,Débito,174.12
429,Débito,387.22
430,Débito,76.63
431,Débito,230.22
432,Débito,144.62
433,Débito,198.29
434,Crédito,380.96
435,Crédito,129.62
436,Débito,271.86
437,Crédito,398.28
438,Crédito,14.47
439,Crédito,253.27
440,Crédito,30.86
441,Crédito,424.08
442,Débito,455.37
443,Débito,149.06
444,Crédito,402.27
445,Crédito,323.03
446,Débito,285.59
447,Crédito,91.42
448,Crédito,358.68
449,Crédito,170.56
450,Débito,391.03
451,Crédito,33.54
452,Débito,237.34
453,Crédito,204.54
454,Crédito,294.05
455,Crédito,182.51
456,Crédito,333.28
457,Crédito,125.8
458,Débito,243.33
459,Débito,327.53
460,Crédito,311.13
461,Crédito,227.73
462,Débito,29.62
463,Crédito,497.43
464,Crédito,278.4
465,Crédito,446.0
466,Débito,127.67
467,Crédito,213.15
468,Débito,463.16
469,Débito,385.6
470,Débito,472.96
471,Crédito,200.92
472,Crédito,270.88
473,Crédito,381.92
474,Crédito,495.47
475,Débito,198.07
476,Crédito,480.63
477,Crédito,16.63
478,Crédito,392.3
479,Crédito,146.97
480,Crédito,137.08
481,Crédito,10.16
482,Débito,47.82
483,Débito,405.39
484,Crédito,281.62
485,Débito,238.65
486,Crédito,90.36
487,Débito,46.73
488,Crédito,61.58
489,Débito,364.68
490,Crédito,348.56
491,Crédito,45.51
492,Débito,323.13
493,Débito,285.18
494,Débito,196.27
495,Débito,41.14
496,Débito,481.48
497,Débito,325.6
498,Débito,432.24
499,Crédito,14.01
500,Débito,443.01
501,Crédito,396.95
502,Débito,201.84
503,Crédito,108.69
504,Crédito,284.24
505,Débito,70.22
506,Crédito,64.59
507,Débito,391.92
